#chrom,start,end,gene_name,Combined_info,WFVC-B1B2-cf-D-FEV2F2both-S1,X47A4-B1B2-cf-D-FEV2F2both-S1,X47AG-B1B2-cf-D-FEV2F2both-S1,X4OA9-B1-cf-D-FEV2F2both-S1,X9CAB-B1B2-cf-D-FEV2F2both-S1,X9EAS-B1B2-cf-D-FEV2F2both-S1,X9JAB-B1B2-cf2-D-FEV2F2both-S1,X9PB4-B1B2-cf-D-FEV2F2both-S1,X9QAN-B1B2-cf-D-FEV2F2both-S1,X9RAK-B1B2-cf-D-FEV2F2both-S1,X9WA1-B1B2-cf-D-FEV2F2both-S1,X9WA4-B1B2-cf-D-FEV2F2both-S1,XCSAM-B1B2-cf-D-FEV2F2both-S1,XE5AM-B1B2-cf-D-FEV2F2both-S1,XE7BO-B1-cf-D-FEV2F2both-S1,XEND2-B1B2-cf-D-FEV2F2both-S1,XEWCL-B1B2-cf-D-FEV2F2both-S1,XEYD3-B1B2-cf-D-FEV2F2both-S1,XEYDZ-B1-cf-D-FEV2F2both-S1,XF1A1-B1B2-cf-D-FEV2F2both-S1,XF1AR-B1B2-cf-D-FEV2F2both-S1,XF2AR-B-cf-D-FEV2F2both-S1,XFCAF-B3B4-cf-D-FEV2F2both-S1,XFGA2-B1B2-cf-D-FEV2F2both-S1,XFLAO-B1B2-cf-D-FEV2F2both-S1,XFQA2-B1B2-cf-D-FEV2F2both-S1,XFQAH-B1B2-cf-D-FEV2F2both-S1,XFQB9-B1B2-cf-D-FEV2F2both-S1,XFRB7-B1B2-cf-D-FEV2F2both-S1,XFSAG-B1B2-cf-D-FEV2F2both-S1,XFVBS-B1B2-cf-D-FEV2F2both-S1,XG3AW-B1B2-cf-D-FEV2F2both-S1,XG3BC-B1B2-cf-D-FEV2F2both-S1,XG5AT-B1B2-cf-D-FEV2F2both-S1,XGAAY-B1B2-cf-D-FEV2F2both-S1,XGBBL-B1B2-cf-D-FEV2F2both-S1,XGFBX-B1B2-cf-D-FEV2F2both-S1,XGJA6-B1B2-cf-D-FEV2F2both-S1,XGJAT-B1B2-cf-D-FEV2F2both-S1,XGYCB-B1B2-cf-D-L2-FEV2F2both-S1,XH7A9-B1B2-cf-D-FEV2F2both-S1,XH7AC-B1B2-cf-D-FEV2F2both-S1,XH9AE-B1B2-cf-D-FEV2F2both-S1,XHEB2-B1B2-cf-D-FEV2F2both-S1,XHEBZ-B1B2-cf-D-FEV2F2both-S1,XHGBJ-B1B2-cf-D-FEV2F2both-S1,XHLAR-B1-cf-D-FEV2F2both-S1,XHTAE-B1-cf-D-FEV2F2both-S1,XHVAJ-B1B2-cf-D-FEV2F2both-S1,XHZA6-B1B2-cf-D-FEV2F2both-S1,XHZAE-B1B2-cf-D-FEV2F2both-S1
chr1,45794952,45795134,MUTYH,chr1:45794952:45795134:MUTYH,6258,6432,4317,7994,4667,5795,6334,5656,5901,7812,5788,6840,6576,5737,4582,5088,5000,2955,3185,4637,6427,4591,5175,6994,4784,5148,4097,4801,6763,10096,6446,6669,5117,9224,3921,4550,4414,5076,4951,7657,5753,7469,8568,5127,5355,6076,6687,6286,7214,5182,4989
chr1,45795712,45795765,MUTYH,chr1:45795712:45795765:MUTYH,226,130,166,210,153,229,174,194,192,261,258,212,189,111,223,147,162,97,128,136,152,130,158,251,111,124,79,114,129,705,93,235,176,232,156,111,140,156,148,212,180,227,215,191,121,173,184,145,184,143,181
chr1,45796162,45796254,MUTYH,chr1:45796162:45796254:MUTYH,2550,2428,1939,3046,1911,2240,2494,2288,1931,2764,2434,2619,2840,2263,1981,2054,2144,1345,1413,2222,2770,1769,2215,2648,2002,2163,1643,2146,2502,4816,2642,2742,2268,3553,2196,1746,1807,2121,1991,2774,2501,2998,3066,2355,2227,2613,2637,2432,2954,2009,1993
chr1,45796828,45797031,MUTYH,chr1:45796828:45797031:MUTYH,5043,5012,3229,6583,3839,4699,5348,4593,4529,5793,4805,5842,5654,4481,3300,4263,4179,2211,2478,3741,5075,3646,4245,5869,4191,4147,3117,3922,5762,8063,5069,5240,3936,7798,3926,3590,3495,4068,3822,5981,4915,6761,6867,4105,4575,5131,5923,5066,5940,4424,4127
chr1,45797066,45797253,MUTYH,chr1:45797066:45797253:MUTYH,3702,4029,2688,5102,2976,3807,3813,3297,3574,5042,4109,4732,4354,3373,2762,2995,3263,1837,1996,3018,4030,2652,3393,4269,3204,3328,2408,3162,4252,7080,3863,4395,3336,5998,2415,2724,2521,3257,3014,4612,3854,5274,5651,3557,3345,3927,4209,3753,4304,3498,3226
chr1,45797307,45797546,MUTYH,chr1:45797307:45797546:MUTYH,4360,3861,3037,5596,3347,3893,4059,3393,3784,4932,4277,5052,4258,3391,3226,3231,3347,2240,2358,3322,3935,2673,3333,4474,3210,3472,2606,3385,4105,8612,3873,4796,4047,6957,1599,2607,2458,3498,3292,5132,3929,5506,5622,4186,3507,4552,4406,4514,4461,3510,3661
chr1,45797669,45797783,MUTYH,chr1:45797669:45797783:MUTYH,2760,2687,2080,3870,2113,2379,2631,2363,2335,2717,2855,3132,2834,2472,2174,2060,2439,1429,1552,2296,2722,1920,2195,3184,2234,2269,1830,2284,2764,5438,2856,3035,2520,4358,1170,1846,1888,2307,2300,3375,2542,3693,3658,2692,2247,2778,2923,2749,3042,2311,2498
chr1,45797812,45798007,MUTYH,chr1:45797812:45798007:MUTYH,3334,3182,2572,4449,2762,3163,3215,2834,2939,4137,3613,4114,3670,2900,2708,2713,2953,1845,1893,2814,3546,2336,2958,3959,2758,2852,1928,2853,3330,7214,3439,4078,3232,5639,1320,2461,2199,2982,2862,4230,3268,4533,4806,3212,3070,3653,3698,3736,3566,3085,3040
chr1,45798037,45798185,MUTYH,chr1:45798037:45798185:MUTYH,2549,2564,1846,3594,1955,2263,2647,2103,2394,2601,2649,2984,2713,2395,2070,1937,2146,1335,1476,2081,2635,1769,2200,2855,1995,2195,1735,2171,2776,5244,2723,2955,2292,4225,996,1774,1575,2280,2095,3220,2453,3485,3645,2371,2329,2799,2781,2705,2892,2061,2192
chr1,45798220,45798384,MUTYH,chr1:45798220:45798384:MUTYH,3332,3470,2642,4736,2708,3408,3536,2877,3068,4098,4023,4687,3894,3149,2495,2727,3039,1746,1901,2852,3834,2545,3067,4157,2908,3048,2274,2977,4057,6561,3710,3939,2951,5564,1912,2637,2429,3087,2857,4364,3545,4832,5188,3186,3262,3607,3957,3712,4071,3004,2964
chr1,45798409,45798531,MUTYH,chr1:45798409:45798531:MUTYH,3068,2887,2131,4016,2529,2885,3089,2408,2851,3382,3249,3877,3429,2658,2191,2392,2438,1509,1693,2398,3033,2192,2415,3536,2395,2544,1920,2542,3465,5322,3014,3535,2772,5002,1838,2101,1878,2389,2318,3919,2799,4188,4698,2830,2894,3446,3299,3202,3385,2753,2645
chr1,45798564,45798656,MUTYH,chr1:45798564:45798656:MUTYH,2502,2117,1595,3095,2087,2362,2182,1892,2073,2631,2306,2809,2390,1999,1664,1704,1832,1163,1273,1786,2086,1578,1871,2788,1719,1836,1559,1884,2495,4461,2161,2550,2152,3916,1587,1474,1425,1865,1837,3137,2078,2909,3309,2210,2073,2563,2459,2292,2721,2005,1764
